CustomerID,Recency,Frequency,Monetary,TotalQuantity,AvgOrderValue,ChurnStatus,Country,SpenderType
12390,80,1,407.74,308,407.74,0,Belgium,Mid Spender
12391,22,1,406.88,263,406.88,0,Cyprus,Mid Spender
12393,72,4,1193.5,618,298.375,0,Australia,High Spender
12394,217,1,331.18,178,331.18,1,Belgium,Mid Spender
12395,19,12,1844.57,1191,153.71416666666667,0,Belgium,High Spender
12397,36,2,1720.01,1139,860.005,0,Belgium,High Spender
12398,46,1,1349.44,1311,1349.44,0,Switzerland,High Spender
12399,119,4,729.15,699,182.2875,1,Belgium,Mid Spender
12401,303,1,32.85,7,32.85,1,Belgium,Low Spender
12402,323,1,195.6,92,195.6,1,Belgium,Low Spender
12403,50,1,92.9,22,92.9,0,Denmark,Low Spender
12405,149,1,1104.8700000000001,493,1104.8700000000001,1,Finland,High Spender
12406,22,2,2871.78,1514,1435.89,0,Denmark,High Spender
12407,50,5,1085.01,850,217.002,0,Belgium,High Spender
12408,33,5,1869.47,1055,373.894,0,Belgium,High Spender
12409,79,3,1646.79,473,548.93,0,Switzerland,High Spender
12410,309,1,274.23,177,274.23,1,Switzerland,Low Spender
12412,75,3,1115.04,728,371.68,0,Denmark,High Spender
12413,67,3,545.2,268,181.73333333333335,0,France,Mid Spender
12414,217,3,343.65,165,114.55,1,Austria,Mid Spender
12415,25,11,3756.06,1162,341.46,0,Australia,High Spender
12417,3,9,2151.75,1258,239.08333333333334,0,Belgium,High Spender
12417,3,9,2151.75,1258,239.08333333333334,0,Spain,High Spender
12418,113,1,418.16,331,418.16,1,Switzerland,Mid Spender
12420,64,1,380.3,182,380.3,0,Cyprus,Mid Spender
12421,16,4,607.57,429,151.8925,0,Spain,Mid Spender
12422,96,3,645.3100000000001,364,215.10333333333335,1,Australia,Mid Spender
12422,96,3,645.3100000000001,364,215.10333333333335,1,Switzerland,Mid Spender
12423,1,8,1535.61,1315,191.95125,0,Belgium,High Spender
12424,163,2,703.72,256,351.86,1,Australia,Mid Spender
12425,78,1,538.14,324,538.14,0,Portugal,Mid Spender
12426,195,1,446.08,247,446.08,1,Germany,Mid Spender
12427,22,3,425.62,212,141.87333333333333,0,Germany,Mid Spender
12428,26,8,4830.43,2960,603.80375,0,Finland,High Spender
12429,9,4,2313.04,1096,578.26,0,Denmark,High Spender
12429,9,4,2313.04,1096,578.26,0,Austria,High Spender
12430,43,1,168.6,112,168.6,0,Norway,Low Spender
12431,60,13,3866.05,1755,297.38846153846157,0,Australia,High Spender
12431,60,13,3866.05,1755,297.38846153846157,0,Belgium,High Spender
12432,43,4,1909.68,768,477.42,0,Norway,High Spender
12433,1,7,7947.37,4549,1135.3385714285714,0,Norway,High Spender
12434,85,2,624.84,372,312.42,0,Australia,Mid Spender
12435,268,1,78.0,40,78.0,1,Denmark,Low Spender
12436,100,1,429.01000000000005,209,429.01000000000005,1,Norway,Mid Spender
12437,2,18,2760.54,2000,153.36333333333334,0,France,High Spender
12438,14,2,1753.1200000000001,934,876.5600000000001,0,Norway,High Spender
12441,367,1,155.55,120,155.55,1,France,Low Spender
12442,3,1,144.06,181,144.06,0,Spain,Low Spender
12444,21,5,2382.56,978,476.512,0,Norway,High Spender
12445,22,1,77.4,60,77.4,0,Spain,Low Spender
12446,58,1,734.36,326,734.36,0,RSA,Mid Spender
12447,243,1,379.78999999999996,181,379.78999999999996,1,Belgium,Mid Spender
12448,44,1,283.95,237,283.95,0,Spain,Mid Spender
12449,22,4,2733.84,1422,683.46,0,Belgium,High Spender
12450,156,2,131.88,88,65.94,1,Spain,Low Spender
12451,11,5,5878.31,4040,1175.662,0,Switzerland,High Spender
12452,17,1,287.67,175,287.67,0,Switzerland,Mid Spender
12453,134,1,707.09,473,707.09,1,Austria,Mid Spender
12454,56,1,66.4,16,66.4,0,Spain,Low Spender
12455,73,5,1201.8600000000001,796,240.372,0,Cyprus,High Spender
12455,73,5,1201.8600000000001,796,240.372,0,Spain,High Spender
12456,44,3,1663.24,1178,554.4133333333333,0,Switzerland,High Spender
12457,86,2,958.93,483,479.465,0,Switzerland,High Spender
12458,71,2,612.38,358,306.19,0,Switzerland,Mid Spender
12461,155,1,419.08,256,419.08,1,Switzerland,Mid Spender
12462,19,2,657.8,406,328.9,0,Spain,Mid Spender
12463,53,4,1155.38,764,288.845,0,Belgium,High Spender
12464,150,4,76.5,30,19.125,1,Belgium,Low Spender
12465,17,2,621.49,425,310.745,0,Belgium,Mid Spender
12468,188,2,575.99,321,287.995,1,Germany,Mid Spender
12471,2,26,8703.38,4835,334.7453846153846,0,Germany,High Spender
12472,32,7,5052.03,3718,721.7185714285714,0,Germany,High Spender
12473,54,3,2218.95,1790,739.65,0,Germany,High Spender
12474,17,18,6115.2,4335,339.73333333333335,0,Germany,High Spender
12475,54,1,561.9399999999999,324,561.9399999999999,0,Germany,Mid Spender
12476,16,10,3530.83,1815,353.08299999999997,0,Germany,High Spender
12477,23,6,7057.34,2282,1176.2233333333334,0,Germany,High Spender
12478,4,1,479.59000000000003,225,479.59000000000003,0,Greece,Mid Spender
12479,11,1,426.35,377,426.35,0,Germany,Mid Spender
12480,28,4,2266.94,1296,566.735,0,Germany,High Spender
12481,23,10,3445.7,2424,344.57,0,Germany,High Spender
12483,17,7,1486.54,806,212.36285714285714,0,Sweden,High Spender
12484,35,4,3322.58,1936,830.645,0,Spain,High Spender
12488,10,3,952.1600000000001,472,317.3866666666667,0,France,High Spender
12489,336,1,191.43,93,191.43,1,France,Low Spender
12490,5,10,4227.11,2657,422.71099999999996,0,France,High Spender
12491,39,1,350.75,183,350.75,0,France,Mid Spender
12492,63,2,227.21,190,113.605,0,Germany,Low Spender
12493,166,2,332.91,167,166.455,1,France,Mid Spender
12494,16,7,951.75,685,135.96428571428572,0,France,High Spender
12497,82,1,20.4,24,20.4,0,Germany,Low Spender
12498,21,3,349.70000000000005,156,116.56666666666668,0,Germany,Mid Spender
12500,50,7,497.89,219,71.12714285714286,0,Germany,Mid Spender
12501,337,1,1866.66,1618,1866.66,1,Germany,High Spender
12502,96,5,1511.32,606,302.264,1,Spain,High Spender
12504,30,1,60.0,48,60.0,0,Germany,Low Spender
12506,233,1,57.6,21,57.6,1,France,Low Spender
12507,156,2,388.75,179,194.375,1,Spain,Mid Spender
12508,26,2,397.88,271,198.94,0,France,Mid Spender
12509,284,1,124.5,50,124.5,1,France,Low Spender
12510,143,2,620.05,295,310.025,1,Spain,Mid Spender
12512,66,2,124.23,95,62.115,0,Israel,Low Spender
12513,113,1,520.04,456,520.04,1,France,Mid Spender
12514,267,1,779.68,416,779.68,1,Italy,Mid Spender
12515,353,1,190.8,120,190.8,1,Italy,Low Spender
12516,78,2,270.48,186,135.24,0,Germany,Low Spender
12517,28,4,2176.85,1336,544.2125,0,Germany,High Spender
12518,1,5,1750.09,1296,350.018,0,Germany,High Spender
12519,64,1,242.84,168,242.84,0,Germany,Low Spender
12520,79,5,2061.56,1397,412.312,0,Germany,High Spender
12521,143,1,499.03,301,499.03,1,Germany,Mid Spender
12522,39,2,152.72,92,76.36,0,Germany,Low Spender
12523,19,11,1277.91,773,116.17363636363638,0,France,High Spender
12524,9,8,1719.21,1254,214.90125,0,Germany,High Spender
12526,1,3,1074.46,614,358.15333333333336,0,Germany,High Spender
12527,82,3,296.71000000000004,229,98.90333333333335,0,Germany,Mid Spender
12528,9,6,1121.63,689,186.93833333333336,0,Germany,High Spender
12530,60,4,1051.42,566,262.855,0,Germany,High Spender
12531,15,1,95.27,44,95.27,0,Germany,Low Spender
12532,30,1,297.33000000000004,149,297.33000000000004,0,France,Mid Spender
12534,131,1,828.73,630,828.73,1,Germany,High Spender
12535,92,2,577.85,203,288.925,1,France,Mid Spender
12536,59,1,3659.97,2515,3659.97,0,France,High Spender
12538,29,1,258.75,179,258.75,0,Spain,Low Spender
12539,22,4,4141.6,1948,1035.4,0,Spain,High Spender
12540,20,17,7967.64,5314,468.68470588235294,0,Spain,High Spender
12541,30,3,721.38,629,240.46,0,Spain,Mid Spender
12544,36,1,284.9,130,284.9,0,Spain,Mid Spender
12545,75,2,698.8,468,349.4,0,Spain,Mid Spender
12546,47,2,969.58,528,484.79,0,Spain,High Spender
12547,198,2,151.79999999999998,132,75.89999999999999,1,Spain,Low Spender
12548,166,1,67.19999999999999,48,67.19999999999999,1,Spain,Low Spender
12550,79,1,748.88,555,748.88,0,Spain,Mid Spender
12551,358,1,168.0,100,168.0,1,Spain,Low Spender
12552,40,1,165.47,70,165.47,0,Italy,Low Spender
12553,8,10,2933.7,1671,293.37,0,France,High Spender
12556,50,2,513.66,346,256.83,0,Spain,Mid Spender
12558,8,1,195.08,160,195.08,0,USA,Low Spender
12559,320,1,301.41,205,301.41,1,Germany,Mid Spender
12560,5,2,1746.16,1035,873.08,0,Germany,High Spender
12561,303,1,207.05,173,207.05,1,Germany,Low Spender
12562,8,7,2701.7400000000002,1495,385.96285714285716,0,France,High Spender
12564,261,1,336.15,125,336.15,1,France,Mid Spender
12565,289,1,145.92,80,145.92,1,Saudi Arabia,Low Spender
12566,86,1,222.13,208,222.13,0,Germany,Low Spender
12567,23,10,6673.58,3819,667.358,0,France,High Spender
12569,2,28,2704.69,1573,96.59607142857143,0,Germany,High Spender
12571,40,2,489.37,451,244.685,0,France,Mid Spender
12572,9,2,650.87,391,325.435,0,Germany,Mid Spender
12573,227,1,150.59,83,150.59,1,France,Low Spender
12574,316,1,162.55,57,162.55,1,France,Low Spender
12576,36,5,1225.31,915,245.06199999999998,0,Poland,High Spender
12577,35,3,570.65,463,190.21666666666667,0,France,Mid Spender
12578,21,2,2242.96,1133,1121.48,0,Italy,High Spender
12579,78,1,329.12,276,329.12,0,France,Mid Spender
12580,247,1,379.7,236,379.7,1,Germany,Mid Spender
12581,40,1,169.76,159,169.76,0,Germany,Low Spender
12582,239,2,313.92,200,156.96,1,Finland,Mid Spender
12583,3,15,5267.89,3031,351.1926666666667,0,France,High Spender
12584,4,8,1100.6000000000001,296,137.57500000000002,0,Italy,High Spender
12585,234,2,1212.95,974,606.475,1,Germany,High Spender
12586,17,1,186.54000000000002,78,186.54000000000002,0,Italy,Low Spender
12587,8,1,104.0,50,104.0,0,Finland,Low Spender
12588,39,1,79.65,43,79.65,0,Finland,Low Spender
12589,29,2,417.28,288,208.64,0,France,Mid Spender
12590,211,1,877.26,242,877.26,1,Germany,High Spender
12591,317,1,323.1,220,323.1,1,Italy,Mid Spender
12592,92,2,350.6,228,175.3,1,Germany,Mid Spender
12593,109,3,382.09999999999997,204,127.36666666666666,1,France,Mid Spender
12594,47,8,2743.43,1331,342.92875,0,Italy,High Spender
12596,51,2,288.27,234,144.135,0,Spain,Mid Spender
12597,19,4,2544.07,1713,636.0175,0,Spain,High Spender
12598,10,7,2103.43,1361,300.48999999999995,0,France,High Spender
12599,29,7,764.38,816,109.19714285714285,0,France,Mid Spender
12600,29,9,1996.22,632,221.8022222222222,0,Germany,High Spender
12601,190,5,371.51,203,74.30199999999999,1,Germany,Mid Spender
12602,59,1,129.22,160,129.22,0,France,Low Spender
12604,79,2,236.18,200,118.09,0,France,Low Spender
12607,60,1,1490.26,1185,1490.26,0,USA,High Spender
12609,78,3,846.11,533,282.0366666666667,0,Germany,High Spender
12610,23,4,1479.6399999999999,1016,369.90999999999997,0,Italy,High Spender
12611,52,1,924.52,632,924.52,0,Italy,High Spender
12612,74,1,654.0,224,654.0,0,Germany,Mid Spender
12613,57,4,2886.4,1492,721.6,0,Germany,High Spender
12614,278,1,218.15,65,218.15,1,Germany,Low Spender
12615,2,4,1552.99,977,388.2475,0,France,High Spender
12616,95,2,386.79999999999995,250,193.39999999999998,1,France,Mid Spender
12617,29,1,333.08,208,333.08,0,France,Mid Spender
12618,22,1,121.41,93,121.41,0,Italy,Low Spender
12619,16,8,681.02,708,85.1275,0,Germany,Mid Spender
12620,15,3,1100.1399999999999,838,366.7133333333333,0,France,High Spender
12621,2,19,7699.9800000000005,4763,405.26210526315793,0,Germany,High Spender
12622,232,1,123.85,65,123.85,1,Germany,Low Spender
12623,276,1,269.1,189,269.1,1,Germany,Low Spender
12624,106,2,492.78,342,246.39,1,France,Mid Spender
12625,212,2,1625.82,1301,812.91,1,Germany,High Spender
12626,23,9,4945.49,3073,549.4988888888888,0,Germany,High Spender
12627,11,6,3675.3,2229,612.5500000000001,0,Germany,High Spender
12628,4,3,665.46,403,221.82000000000002,0,Germany,Mid Spender
12630,10,2,905.08,530,452.54,0,Finland,High Spender
12631,57,1,396.0,222,396.0,0,Finland,Mid Spender
12633,59,4,1379.94,807,344.985,0,Germany,High Spender
12635,90,2,1357.69,1001,678.845,0,Germany,High Spender
12637,67,8,5056.84,2769,632.105,0,France,High Spender
12638,33,1,498.25,541,498.25,0,Sweden,Mid Spender
12639,239,1,325.3,194,325.3,1,Sweden,Mid Spender
12640,24,3,609.53,263,203.17666666666665,0,France,Mid Spender
12641,115,1,128.9,69,128.9,1,Sweden,Low Spender
12642,25,3,743.77,457,247.92333333333332,0,Germany,Mid Spender
12643,221,2,73.28,50,36.64,1,France,Low Spender
12644,130,1,417.12,284,417.12,1,Germany,Mid Spender
12645,34,4,1406.18,896,351.545,0,Germany,High Spender
12646,5,2,838.16,454,419.08,0,USA,High Spender
12647,22,12,1843.87,879,153.65583333333333,0,Germany,High Spender
12648,155,1,255.3,154,255.3,1,Germany,Low Spender
12649,107,3,513.0500000000001,285,171.01666666666668,1,Germany,Mid Spender
12650,3,1,242.44000000000003,250,242.44000000000003,0,France,Low Spender
12651,335,1,114.0,78,114.0,1,France,Low Spender
12652,331,1,732.28,492,732.28,1,France,Mid Spender
12653,149,2,752.81,487,376.405,1,Israel,Mid Spender
12654,11,5,499.33,257,99.866,0,Germany,Mid Spender
12656,17,5,1873.35,923,374.66999999999996,0,France,High Spender
12657,11,3,623.0,311,207.66666666666666,0,France,Mid Spender
12658,19,1,535.4,306,535.4,0,Germany,Mid Spender
12659,30,1,45.6,32,45.6,0,France,Low Spender
12660,11,1,203.7,90,203.7,0,France,Low Spender
12662,1,11,3289.4300000000003,1954,299.03909090909093,0,Germany,High Spender
12664,59,4,406.8,144,101.7,0,Finland,Mid Spender
12665,325,1,45.0,36,45.0,1,Germany,Low Spender
12667,58,1,410.23,385,410.23,0,Finland,Mid Spender
12668,12,4,2666.0,1378,666.5,0,Germany,High Spender
12669,151,2,1319.92,1057,659.96,1,France,High Spender
12670,10,5,2087.47,1041,417.49399999999997,0,France,High Spender
12672,330,1,162.29999999999998,70,162.29999999999998,1,France,Low Spender
12673,5,2,504.62,311,252.31,0,Germany,Mid Spender
12674,39,4,1289.54,788,322.385,0,France,High Spender
12676,25,6,1031.39,616,171.89833333333334,0,Sweden,High Spender
12678,43,8,1359.8,645,169.975,0,France,High Spender
12679,284,1,639.86,320,639.86,1,France,Mid Spender
12680,1,4,736.97,399,184.2425,0,France,Mid Spender
12681,15,21,9584.4,6081,456.4,0,France,High Spender
12682,4,30,8429.54,4426,280.98466666666667,0,France,High Spender
12683,4,14,5146.41,3891,367.6007142857143,0,France,High Spender
12684,8,6,1646.19,1439,274.365,0,France,High Spender
12685,28,6,2437.65,1422,406.27500000000003,0,France,High Spender
12686,372,1,71.14,106,71.14,1,France,Low Spender
12688,114,1,2770.04,1844,2770.04,1,Israel,High Spender
12689,26,2,1020.21,610,510.105,0,France,High Spender
12690,206,1,265.11,97,265.11,1,France,Low Spender
12691,58,4,678.2,252,169.55,0,France,Mid Spender
12693,127,4,476.51,219,119.1275,1,Germany,Mid Spender
12694,70,2,447.62,406,223.81,0,France,Mid Spender
12695,7,4,342.56,156,85.64,0,France,Mid Spender
12697,29,3,676.71,399,225.57000000000002,0,Sweden,Mid Spender
12700,8,4,3888.64,2599,972.16,0,France,High Spender
12701,80,2,652.45,632,326.225,0,Germany,Mid Spender
12702,20,1,201.0,52,201.0,0,Germany,Low Spender
12703,71,1,265.55,163,265.55,0,Germany,Low Spender
12704,7,8,1180.98,657,147.6225,0,Finland,High Spender
12705,15,8,5154.4,3445,644.3,0,Germany,High Spender
12707,292,1,417.52000000000004,238,417.52000000000004,1,France,Mid Spender
12708,30,10,2117.96,1263,211.796,0,Germany,High Spender
12709,15,14,4585.32,2236,327.5228571428571,0,Germany,High Spender
12710,97,3,909.8199999999999,798,303.2733333333333,1,Germany,High Spender
12712,29,13,2586.98,816,198.99846153846153,0,Germany,High Spender
12713,1,1,722.85,499,722.85,0,Germany,Mid Spender
12714,9,5,3621.0299999999997,2789,724.2059999999999,0,France,High Spender
12715,106,1,263.36,190,263.36,1,Sweden,Low Spender
12716,4,2,912.91,627,456.455,0,France,High Spender
12717,151,2,774.03,499,387.015,1,Greece,Mid Spender
12718,71,1,182.35,199,182.35,0,France,Low Spender
12719,5,2,498.55,363,249.275,0,France,Mid Spender
12720,3,25,4424.39,3719,176.97560000000001,0,Germany,High Spender
12721,32,6,2108.19,1754,351.365,0,France,High Spender
12722,115,2,726.1,518,363.05,1,France,Mid Spender
12723,4,4,580.33,389,145.0825,0,France,Mid Spender
12724,5,4,923.41,439,230.8525,0,France,High Spender
12725,371,1,371.8,162,371.8,1,Italy,Mid Spender
12726,28,7,1550.1,1440,221.44285714285712,0,France,High Spender
12727,11,7,2461.52,1626,351.6457142857143,0,France,High Spender
12728,71,4,565.33,353,141.3325,0,France,Mid Spender
12729,114,1,360.71000000000004,225,360.71000000000004,1,France,Mid Spender
12731,24,10,7116.69,2899,711.669,0,France,High Spender
12732,180,1,178.26000000000002,78,178.26000000000002,1,France,Low Spender
12733,234,1,276.85,95,276.85,1,USA,Low Spender
12734,353,1,110.39999999999999,88,110.39999999999999,1,France,Low Spender
12735,315,2,375.07,331,187.535,1,France,Mid Spender
12736,333,1,93.6,48,93.6,1,France,Low Spender
12738,372,1,110.4,144,110.4,1,Germany,Low Spender
12739,99,1,516.0,383,516.0,1,United Arab Emirates,Mid Spender
12740,64,1,344.8,296,344.8,0,France,Mid Spender
12743,134,2,418.93,303,209.465,1,Unspecified,Mid Spender
12744,56,4,4774.93,2019,1193.7325,0,Singapore,High Spender
12747,2,11,2640.41,967,240.03727272727272,0,United Kingdom,High Spender
12748,1,196,20519.88,15043,104.69326530612246,0,United Kingdom,High Spender
12749,4,5,2737.73,1225,547.546,0,United Kingdom,High Spender
12750,129,1,184.98,127,184.98,1,Poland,Low Spender
12752,81,1,854.12,404,854.12,0,Norway,High Spender
12753,23,6,1988.77,515,331.46166666666664,0,Japan,High Spender
12754,277,2,61.62,49,30.81,1,Japan,Low Spender
12755,281,1,7.6,2,7.6,1,Japan,Low Spender
12756,87,1,50.879999999999995,72,50.879999999999995,0,Japan,Low Spender
12757,16,7,3181.5,1942,454.5,0,Portugal,High Spender
12758,117,2,1468.59,1067,734.295,1,Portugal,High Spender
12759,52,3,1279.09,850,426.3633333333333,0,Netherlands,High Spender
12762,8,2,1211.3,714,605.65,0,Portugal,High Spender
12763,369,1,320.08,196,320.08,1,Japan,Mid Spender
12764,317,1,952.88,322,952.88,1,Lebanon,High Spender
12766,4,7,5713.12,3234,816.16,0,Portugal,High Spender
12769,239,1,869.4,328,869.4,1,Brazil,High Spender
12772,60,1,615.3199999999999,538,615.3199999999999,0,Portugal,Mid Spender
12775,17,5,952.14,708,190.428,0,Netherlands,High Spender
12778,20,6,492.49,535,82.08166666666666,0,Netherlands,Mid Spender
12779,38,8,2523.53,1339,315.44125,0,Poland,High Spender
12781,64,2,594.54,362,297.27,0,Czech Republic,Mid Spender
12782,5,5,1811.47,967,362.294,0,Portugal,High Spender
12783,2,4,1011.3000000000001,532,252.82500000000002,0,Portugal,High Spender
12784,15,1,455.46999999999997,276,455.46999999999997,0,Portugal,Mid Spender
12785,364,1,239.0,128,239.0,1,Portugal,Low Spender
12787,10,3,356.26,228,118.75333333333333,0,Netherlands,Mid Spender
12790,192,1,199.42000000000002,154,199.42000000000002,1,Netherlands,Low Spender
12792,257,1,329.59,214,329.59,1,Portugal,Mid Spender
12793,335,2,395.48,252,197.74,1,Portugal,Mid Spender
12794,53,2,795.51,554,397.755,0,Portugal,Mid Spender
12795,19,1,144.63,47,144.63,0,Portugal,Low Spender
12797,366,1,206.13,115,206.13,1,Portugal,Low Spender
12802,187,1,397.58,312,397.58,1,Netherlands,Mid Spender
12808,37,3,445.7,186,148.56666666666666,0,Portugal,Mid Spender
12809,178,1,343.41,211,343.41,1,Portugal,Mid Spender
12811,262,2,416.55,190,208.275,1,Portugal,Mid Spender
12812,45,1,229.64000000000001,164,229.64000000000001,0,Japan,Low Spender
12815,148,2,687.66,330,343.83,1,Poland,Mid Spender
12816,96,2,265.90000000000003,107,132.95000000000002,1,Poland,Low Spender
12817,281,1,126.03999999999999,52,126.03999999999999,1,Austria,Low Spender
12818,262,1,267.6,96,267.6,1,Austria,Low Spender
12820,3,4,923.62,674,230.905,0,United Kingdom,High Spender
12821,214,1,75.72,68,75.72,1,United Kingdom,Low Spender
12822,71,2,743.28,456,371.64,0,United Kingdom,Mid Spender
12824,60,1,316.42,222,316.42,0,United Kingdom,Mid Spender
12826,3,7,1460.8,1010,208.68571428571428,0,United Kingdom,High Spender
12827,6,3,430.15000000000003,197,143.38333333333335,0,United Kingdom,Mid Spender
12828,3,6,961.96,489,160.32666666666668,0,United Kingdom,High Spender
12829,337,1,28.5,6,28.5,1,United Kingdom,Low Spender
12831,262,1,124.75,61,124.75,1,United Kingdom,Low Spender
12832,32,2,366.53,193,183.265,0,United Kingdom,Mid Spender
12833,145,1,307.03000000000003,145,307.03000000000003,1,United Kingdom,Mid Spender
12834,283,1,201.08,96,201.08,1,United Kingdom,Low Spender
12836,59,4,1620.1200000000001,910,405.03000000000003,0,United Kingdom,High Spender
12837,173,1,58.75,17,58.75,1,United Kingdom,Low Spender
12838,34,2,575.3000000000001,345,287.65000000000003,0,United Kingdom,Mid Spender
12839,3,14,5115.12,3463,365.36571428571426,0,United Kingdom,High Spender
12840,144,4,2726.77,1511,681.6925,1,United Kingdom,High Spender
12841,5,25,3308.77,2244,132.3508,0,United Kingdom,High Spender
12842,70,2,582.3100000000001,378,291.15500000000003,0,United Kingdom,Mid Spender
12843,160,7,1395.69,652,199.3842857142857,1,United Kingdom,High Spender
12844,29,2,325.96000000000004,125,162.98000000000002,0,United Kingdom,Mid Spender
12845,269,2,54.79,23,27.395,1,United Kingdom,Low Spender
12847,22,1,640.24,557,640.24,0,United Kingdom,Mid Spender
12849,31,2,737.14,402,368.57,0,United Kingdom,Mid Spender
12851,97,1,104.91,104,104.91,1,United Kingdom,Low Spender
12852,295,1,264.15000000000003,145,264.15000000000003,1,United Kingdom,Low Spender
12853,135,5,1227.2,512,245.44,1,United Kingdom,High Spender
12854,79,3,1056.4,533,352.1333333333334,0,United Kingdom,High Spender
12855,373,1,38.1,30,38.1,1,United Kingdom,Low Spender
12856,8,6,1960.03,1012,326.6716666666667,0,United Kingdom,High Spender
12857,211,2,831.15,314,415.575,1,United Kingdom,High Spender
12863,52,1,109.2,48,109.2,0,United Kingdom,Low Spender
12864,138,1,10.2,12,10.2,1,United Kingdom,Low Spender
12865,26,2,1355.82,862,677.91,0,Austria,High Spender
12866,283,1,344.92,151,344.92,1,Belgium,Mid Spender
12867,26,7,3637.29,3717,519.6128571428571,0,United Kingdom,High Spender
12868,186,6,1534.71,921,255.785,1,United Kingdom,High Spender
12871,84,2,120.53999999999999,102,60.269999999999996,0,United Kingdom,Low Spender
12872,327,2,507.12,284,253.56,1,United Kingdom,Mid Spender
12876,58,2,1100.82,846,550.41,0,Belgium,High Spender
12877,4,12,1413.31,1083,117.77583333333332,0,United Kingdom,High Spender
12878,236,2,839.09,545,419.545,1,United Kingdom,High Spender
12879,45,3,220.66,106,73.55333333333333,0,United Kingdom,Low Spender
12881,276,1,69.0,16,69.0,1,United Kingdom,Low Spender
12882,9,2,995.4,140,497.7,0,United Kingdom,High Spender
12883,25,4,527.87,179,131.9675,0,United Kingdom,Mid Spender
12884,88,1,107.25,37,107.25,0,United Kingdom,Low Spender
12885,63,3,977.22,637,325.74,0,United Kingdom,High Spender
12886,68,2,1059.3600000000001,610,529.6800000000001,0,United Kingdom,High Spender
12888,214,2,187.92000000000002,60,93.96000000000001,1,United Kingdom,Low Spender
12890,24,1,361.63,219,361.63,0,United Kingdom,Mid Spender
12893,31,1,176.55,90,176.55,0,United Kingdom,Low Spender
12895,42,2,335.05,207,167.525,0,United Kingdom,Mid Spender
12897,205,2,100.50000000000001,30,50.25000000000001,1,United Kingdom,Low Spender
12901,10,15,1162.35,705,77.49,0,United Kingdom,High Spender
12902,265,1,87.78,62,87.78,1,United Kingdom,Low Spender
12904,18,2,338.21,242,169.105,0,United Kingdom,Mid Spender
12906,12,5,1108.02,616,221.60399999999998,0,United Kingdom,High Spender
12909,40,5,1022.43,741,204.486,0,United Kingdom,High Spender
12910,23,8,2297.02,1034,287.1275,0,United Kingdom,High Spender
12912,8,4,735.66,302,183.915,0,United Kingdom,Mid Spender
12913,5,5,1088.45,447,217.69,0,United Kingdom,High Spender
12915,149,2,201.05,77,100.525,1,United Kingdom,Low Spender
12916,139,4,1785.8,716,446.45,1,United Kingdom,High Spender
12919,8,6,1159.21,593,193.20166666666668,0,United Kingdom,High Spender
12920,17,1,106.89,89,106.89,0,United Kingdom,Low Spender
12921,9,37,13030.37,7736,352.1721621621622,0,United Kingdom,High Spender
12922,161,1,377.3,298,377.3,1,United Kingdom,Mid Spender
